"","latitude","longitude","month","snc"
"490",52.401527,-116.275232,10,0.749411960442861
"491",52.401527,-116.275232,11,0.769992404513889
"492",52.401527,-116.275232,12,0.769992404513889
"493",57.312059,-111.219013,1,0.90625
"494",57.312059,-111.219013,2,0.90625
"495",57.312059,-111.219013,3,0.90625
"496",57.312059,-111.219013,4,0.90625
"497",57.312059,-111.219013,5,0.90625
"498",57.312059,-111.219013,6,0.553819448997577
"499",57.312059,-111.219013,7,0.0251736111111111
"500",57.312059,-111.219013,8,0.0235495070616404
"501",57.312059,-111.219013,9,0.0704861138429907
"502",57.312059,-111.219013,10,0.727598559525278
"503",57.312059,-111.219013,11,0.881076388888889
"504",57.312059,-111.219013,12,0.881076388888889
"505",57.460916,-111.234237,1,0.90625
"506",57.460916,-111.234237,2,0.90625
"507",57.460916,-111.234237,3,0.90625
"508",57.460916,-111.234237,4,0.90625
"509",57.460916,-111.234237,5,0.90625
"510",57.460916,-111.234237,6,0.553819448997577
"511",57.460916,-111.234237,7,0.0251736111111111
"512",57.460916,-111.234237,8,0.0284218185891708
"513",57.460916,-111.234237,9,0.105729169315762
"514",57.460916,-111.234237,10,0.766577056712574
"515",57.460916,-111.234237,11,0.881076388888889
"516",57.460916,-111.234237,12,0.881076388888889
"517",57.470623,-111.22666,1,0.90625
"518",57.470623,-111.22666,2,0.90625
"519",57.470623,-111.22666,3,0.90625
"520",57.470623,-111.22666,4,0.90625
"521",57.470623,-111.22666,5,0.90625
"522",57.470623,-111.22666,6,0.553819448997577
"523",57.470623,-111.22666,7,0.0251736111111111
"524",57.470623,-111.22666,8,0.0284218185891708
"525",57.470623,-111.22666,9,0.105729169315762
"526",57.470623,-111.22666,10,0.766577056712574
"527",57.470623,-111.22666,11,0.881076388888889
"528",57.470623,-111.22666,12,0.881076388888889
"529",54.938323,-112.629301,1,0.828125
"530",54.938323,-112.629301,2,0.828125
"531",54.938323,-112.629301,3,0.828125
"532",54.938323,-112.629301,4,0.828125
"533",54.938323,-112.629301,5,0.828125
"534",54.938323,-112.629301,6,0.401027201364438
"535",54.938323,-112.629301,7,0.0230034722222222
"536",54.938323,-112.629301,8,0.022261425283634
"537",54.938323,-112.629301,9,0.14185475009597
"538",54.938323,-112.629301,10,0.721270156403383
"539",54.938323,-112.629301,11,0.805121527777778
"540",54.938323,-112.629301,12,0.805121527777778
"541",54.943724,-112.64802,1,0.828125
"542",54.943724,-112.64802,2,0.828125
"543",54.943724,-112.64802,3,0.828125
"544",54.943724,-112.64802,4,0.828125
"545",54.943724,-112.64802,5,0.828125
"546",54.943724,-112.64802,6,0.401027201364438
"547",54.943724,-112.64802,7,0.0230034722222222
"548",54.943724,-112.64802,8,0.022261425283634
"549",54.943724,-112.64802,9,0.14185475009597
"550",54.943724,-112.64802,10,0.721270156403383
"551",54.943724,-112.64802,11,0.805121527777778
"552",54.943724,-112.64802,12,0.805121527777778
"553",54.943535,-112.638723,1,0.828125
"554",54.943535,-112.638723,2,0.828125
"555",54.943535,-112.638723,3,0.828125
"556",54.943535,-112.638723,4,0.828125
"557",54.943535,-112.638723,5,0.828125
"558",54.943535,-112.638723,6,0.401027201364438
"559",54.943535,-112.638723,7,0.0230034722222222
"560",54.943535,-112.638723,8,0.022261425283634
"561",54.943535,-112.638723,9,0.14185475009597
"562",54.943535,-112.638723,10,0.721270156403383
"563",54.943535,-112.638723,11,0.805121527777778
"564",54.943535,-112.638723,12,0.805121527777778
"565",54.949447,-112.666649,1,0.828125
"566",54.949447,-112.666649,2,0.828125
"567",54.949447,-112.666649,3,0.828125
"568",54.949447,-112.666649,4,0.828125
"569",54.949447,-112.666649,5,0.828125
"570",54.949447,-112.666649,6,0.401027201364438
"571",54.949447,-112.666649,7,0.0230034722222222
"572",54.949447,-112.666649,8,0.022261425283634
"573",54.949447,-112.666649,9,0.14185475009597
"574",54.949447,-112.666649,10,0.721270156403383
"575",54.949447,-112.666649,11,0.805121527777778
"576",54.949447,-112.666649,12,0.805121527777778
"577",54.965997,-112.696297,1,0.828125
"578",54.965997,-112.696297,2,0.828125
"579",54.965997,-112.696297,3,0.828125
"580",54.965997,-112.696297,4,0.828125
"581",54.965997,-112.696297,5,0.828125
"582",54.965997,-112.696297,6,0.401027201364438
"583",54.965997,-112.696297,7,0.0230034722222222
"584",54.965997,-112.696297,8,0.022261425283634
"585",54.965997,-112.696297,9,0.14185475009597
"586",54.965997,-112.696297,10,0.721270156403383
"587",54.965997,-112.696297,11,0.805121527777778
"588",54.965997,-112.696297,12,0.805121527777778
"589",54.965357,-112.656639,1,0.828125
"590",54.965357,-112.656639,2,0.828125
"591",54.965357,-112.656639,3,0.828125
"592",54.965357,-112.656639,4,0.828125
"593",54.965357,-112.656639,5,0.828125
"594",54.965357,-112.656639,6,0.401027201364438
"595",54.965357,-112.656639,7,0.0230034722222222
"596",54.965357,-112.656639,8,0.022261425283634
"597",54.965357,-112.656639,9,0.14185475009597
"598",54.965357,-112.656639,10,0.721270156403383
"599",54.965357,-112.656639,11,0.805121527777778
"600",54.965357,-112.656639,12,0.805121527777778
"601",54.98679,-112.645596,1,0.828125
"602",54.98679,-112.645596,2,0.828125
"603",54.98679,-112.645596,3,0.828125
"604",54.98679,-112.645596,4,0.828125
"605",54.98679,-112.645596,5,0.828125
"606",54.98679,-112.645596,6,0.401027201364438
"607",54.98679,-112.645596,7,0.0230034722222222
"608",54.98679,-112.645596,8,0.022261425283634
"609",54.98679,-112.645596,9,0.14185475009597
"610",54.98679,-112.645596,10,0.721270156403383
"611",54.98679,-112.645596,11,0.805121527777778
"612",54.98679,-112.645596,12,0.805121527777778
"613",54.57555,-110.437762,1,0.984375
"614",54.57555,-110.437762,2,0.984375
"615",54.57555,-110.437762,3,0.984375
"616",54.57555,-110.437762,4,0.984375
"617",54.57555,-110.437762,5,0.984375
"618",54.57555,-110.437762,6,0.50494792064031
"619",54.57555,-110.437762,7,0.02734375
"620",54.57555,-110.437762,8,0.0255796379513211
"621",54.57555,-110.437762,9,0.174088548041052
"622",54.57555,-110.437762,10,0.887348787652122
"623",54.57555,-110.437762,11,0.95703125
"624",54.57555,-110.437762,12,0.95703125
"625",54.5865,-110.446292,1,0.984375
"626",54.5865,-110.446292,2,0.984375
"627",54.5865,-110.446292,3,0.984375
"628",54.5865,-110.446292,4,0.984375
"629",54.5865,-110.446292,5,0.984375
"630",54.5865,-110.446292,6,0.50494792064031
"631",54.5865,-110.446292,7,0.02734375
"632",54.5865,-110.446292,8,0.0255796379513211
"633",54.5865,-110.446292,9,0.174088548041052
"634",54.5865,-110.446292,10,0.887348787652122
"635",54.5865,-110.446292,11,0.95703125
"636",54.5865,-110.446292,12,0.95703125
"637",54.590116,-110.398068,1,0.984375
"638",54.590116,-110.398068,2,0.984375
"639",54.590116,-110.398068,3,0.984375
"640",54.590116,-110.398068,4,0.984375
"641",54.590116,-110.398068,5,0.984375
"642",54.590116,-110.398068,6,0.50494792064031
"643",54.590116,-110.398068,7,0.02734375
"644",54.590116,-110.398068,8,0.0255796379513211
"645",54.590116,-110.398068,9,0.174088548041052
"646",54.590116,-110.398068,10,0.887348787652122
"647",54.590116,-110.398068,11,0.95703125
"648",54.590116,-110.398068,12,0.95703125
"649",54.597224,-110.444986,1,0.984375
"650",54.597224,-110.444986,2,0.984375
"651",54.597224,-110.444986,3,0.984375
"652",54.597224,-110.444986,4,0.984375
"653",54.597224,-110.444986,5,0.984375
"654",54.597224,-110.444986,6,0.50494792064031
"655",54.597224,-110.444986,7,0.02734375
"656",54.597224,-110.444986,8,0.0255796379513211
"657",54.597224,-110.444986,9,0.174088548041052
"658",54.597224,-110.444986,10,0.887348787652122
"659",54.597224,-110.444986,11,0.95703125
"660",54.597224,-110.444986,12,0.95703125
"661",54.59421,-110.397311,1,0.984375
"662",54.59421,-110.397311,2,0.984375
"663",54.59421,-110.397311,3,0.984375
"664",54.59421,-110.397311,4,0.984375
"665",54.59421,-110.397311,5,0.984375
"666",54.59421,-110.397311,6,0.50494792064031
"667",54.59421,-110.397311,7,0.02734375
"668",54.59421,-110.397311,8,0.0255796379513211
"669",54.59421,-110.397311,9,0.174088548041052
"670",54.59421,-110.397311,10,0.887348787652122
"671",54.59421,-110.397311,11,0.95703125
"672",54.59421,-110.397311,12,0.95703125
"673",54.602542,-110.444357,1,0.984375
"674",54.602542,-110.444357,2,0.984375
"675",54.602542,-110.444357,3,0.984375
"676",54.602542,-110.444357,4,0.984375
"677",54.602542,-110.444357,5,0.984375
"678",54.602542,-110.444357,6,0.50494792064031
"679",54.602542,-110.444357,7,0.02734375
"680",54.602542,-110.444357,8,0.0255796379513211
"681",54.602542,-110.444357,9,0.174088548041052
"682",54.602542,-110.444357,10,0.887348787652122
"683",54.602542,-110.444357,11,0.95703125
"684",54.602542,-110.444357,12,0.95703125
"685",54.60193,-110.434535,1,0.984375
"686",54.60193,-110.434535,2,0.984375
"687",54.60193,-110.434535,3,0.984375
"688",54.60193,-110.434535,4,0.984375
"689",54.60193,-110.434535,5,0.984375
"690",54.60193,-110.434535,6,0.50494792064031
"691",54.60193,-110.434535,7,0.02734375
"692",54.60193,-110.434535,8,0.0255796379513211
"693",54.60193,-110.434535,9,0.174088548041052
"694",54.60193,-110.434535,10,0.887348787652122
"695",54.60193,-110.434535,11,0.95703125
"696",54.60193,-110.434535,12,0.95703125
"697",54.613828,-110.461793,1,0.984375
"698",54.613828,-110.461793,2,0.984375
"699",54.613828,-110.461793,3,0.984375
"700",54.613828,-110.461793,4,0.984375
"701",54.613828,-110.461793,5,0.984375
"702",54.613828,-110.461793,6,0.50494792064031
"703",54.613828,-110.461793,7,0.02734375
"704",54.613828,-110.461793,8,0.0255796379513211
"705",54.613828,-110.461793,9,0.174088548041052
"706",54.613828,-110.461793,10,0.887348787652122
"707",54.613828,-110.461793,11,0.95703125
"708",54.613828,-110.461793,12,0.95703125
"709",55.077276,-111.971627,1,0.9375
"710",55.077276,-111.971627,2,0.9375
"711",55.077276,-111.971627,3,0.9375
"712",55.077276,-111.971627,4,0.9375
"713",55.077276,-111.971627,5,0.9375
"714",55.077276,-111.971627,6,0.456597222222222
"715",55.077276,-111.971627,7,0.0260416666666667
"716",55.077276,-111.971627,8,0.0252016128247811
"717",55.077276,-111.971627,9,0.140625
"718",55.077276,-111.971627,10,0.820732516547044
"719",55.077276,-111.971627,11,0.911458333333333
"720",55.077276,-111.971627,12,0.911458333333333
"721",55.094554,-112.046935,1,0.9375
"722",55.094554,-112.046935,2,0.9375
"723",55.094554,-112.046935,3,0.9375
"724",55.094554,-112.046935,4,0.9375
"725",55.094554,-112.046935,5,0.9375
"726",55.094554,-112.046935,6,0.456597222222222
