"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2615","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2616","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2617","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2618","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2619","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2620","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2621","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2622","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2623","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2624","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2625","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2626","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2627","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2628","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2629","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2630","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2631","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2632","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2633","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2634","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2635","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2636","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2637","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2638","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2639","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2640","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2641","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2642","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2643","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2644","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2645","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2646","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2647","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2648","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2649","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2650","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2651","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2652","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2653","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2654","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2655","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2656","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2657","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2658","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2659","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2660","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2661","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2662","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2663","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2664","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2665","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2666","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2667","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2668","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2669","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2670","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2671","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2672","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2673","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2674","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2675","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2676","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2677","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2678","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2679","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2680","36-NW",231,"meters",-111.286217,59.510143,TRUE
